sample	general::type1_physical_units	general::type2_physical_units	general::type1_loci_present	general::type2_loci_present	general::type1_fraction	general::type1_type2_log_ratio	general::type1_minus_type2_units	general::type1_compatible_gag_units	general::type1_compatible_pro_units	general::type1_compatible_pol_units	general::type1_compatible_env_units	general::type1_compatible_np9_units	general::type2_compatible_gag_units	general::type2_compatible_pro_units	general::type2_compatible_pol_units	general::type2_compatible_env_units	general::type2_compatible_rec_units
NA20346	28	52	15	29	0.35	-0.881355503501381	-24	10	8	2	5	21	5	11	2	5	30
NA20355	23	45	13	24	0.3382352941176471	-0.9532057885210588	-22	8	7	2	5	18	5	10	1	7	27
NA20503	27	56	14	28	0.3253012048192771	-1.0388192488905281	-29	9	8	2	4	21	6	9	0	10	35
NA20509	24	45	12	23	0.34782608695652173	-0.8930847960834881	-21	11	7	2	4	18	7	10	1	9	27
NA20752	26	53	13	27	0.3291139240506329	-1.0135465318379477	-27	12	10	2	6	18	8	12	1	10	33
NA20762	26	54	15	28	0.325	-1.040263870213727	-28	11	8	2	5	19	9	14	3	9	33
NA20799	27	52	14	27	0.34177215189873417	-0.9328858041414629	-25	12	9	3	6	19	7	9	3	7	30
NA20805	26	55	13	29	0.32098765432098764	-1.0664954117869068	-29	12	9	2	6	18	8	13	2	8	33
NA20806	26	57	14	29	0.3132530120481928	-1.117569596381176	-31	11	9	2	5	19	10	14	4	10	36
NA20809	24	53	13	29	0.3116883116883117	-1.1267571422859388	-29	12	7	2	5	17	7	11	2	7	32
NA20827	25	50	13	28	0.3333333333333333	-0.9857861407802991	-25	11	9	2	5	18	7	11	3	7	31
NA20847	27	46	14	24	0.3698630136986301	-0.7577990975833717	-19	10	8	2	4	21	7	10	1	9	29
NA20850	26	52	14	28	0.3333333333333333	-0.9863250631029236	-26	11	9	3	5	19	6	12	1	8	29
NA20870	25	49	14	26	0.33783783783783783	-0.9569312781081141	-24	10	9	3	5	18	7	11	2	7	28
NA20905	29	53	15	29	0.35365853658536583	-0.8588239370393058	-24	12	8	2	5	22	8	14	2	8	32
NA21093	34	55	16	30	0.38202247191011235	-0.685891409571937	-21	12	9	3	10	26	7	13	2	9	34
NA21102	24	51	14	27	0.32	-1.0717906830680102	-27	8	8	3	4	18	7	11	3	7	29
NA21106	30	53	15	29	0.3614457831325301	-0.8107296488382608	-23	10	10	4	8	24	5	12	1	8	33
NA21110	26	51	13	26	0.33766233766233766	-0.9585800726200192	-25	12	11	3	6	18	6	12	1	9	30
NA21144	27	51	14	26	0.34615384615384615	-0.9051408136585588	-24	12	10	3	6	19	6	11	2	6	30
NA21309	24	54	13	30	0.3076923076923077	-1.153474480661718	-30	10	7	1	4	19	7	11	3	8	34
NA21487	27	48	14	27	0.36	-0.8185531286624681	-21	12	8	1	4	20	8	14	3	8	31
NA24385	24	46	13	25	0.34285714285714286	-0.9244489669928232	-22	10	7	2	4	18	6	8	2	6	28
