locus	ID_Full	sequence_path	source_sha256	source_class	ID	Haplotype
HML-2_11q22.1	HG00253_hap1_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00253_hap1_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00272_hap1_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00272_hap1_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00280_hap2_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00280_hap2_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00321_hap1_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00321_hap1_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00321_hap2_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00321_hap2_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00323_hap1_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00323_hap1_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00323_hap2_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00323_hap2_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00350_hap1_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00350_hap1_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00408_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00408_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00408_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00408_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00423_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00423_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00423_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00423_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00438_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00438_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00438_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00438_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG005_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG005_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG005_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG005_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00544_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00544_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00544_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00544_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00558_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00558_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00558_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00558_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00597_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00597_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00609_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00609_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00609_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00609_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00621_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00621_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00639_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00639_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00658_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00658_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00658_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00658_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00673_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00673_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00706_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00706_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00733_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00733_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00733_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00733_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
