source	rate_label	rate_per_generation	Ne	scenario	locus	n_typed	age_bound_Ma	p_all_I	p_all_II	p_sample_mixed	p_all_I_given_TypeI_detected
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	double_older_upper_bounds	12q13.2	237	2.0	0.02509855903288848	0.8427133990343276	0.13218804193278388	0.15957213697030817
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	double_older_upper_bounds	19p12e	489	46.94	0.6741371922005711	0.27638837608262795	0.04947443171680094	0.931628472952156
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	double_older_upper_bounds	1p31.1b	67	2.0	0.02534011852806653	0.8689677905176846	0.10569209095424892	0.19338847011876514
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	double_older_upper_bounds	1q22	348	2.0	0.025068203802361855	0.8348669656026441	0.14006483059499408	0.15180611132016622
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	double_older_upper_bounds	1q23.3	350	28.28	0.4862377332199239	0.43933445115788733	0.07442781562218875	0.8672509559827652
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	double_older_upper_bounds	21q21.1	181	12.54	0.2457291230202055	0.6554840174678099	0.09878685951198463	0.7132589937166286
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	double_older_upper_bounds	22q11.21	217	6.68	0.12976971637922638	0.7529081461488767	0.1173221374718969	0.5251881612309836
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	double_older_upper_bounds	3p25.3	381	43.92	0.6492231331349967	0.29933912785490435	0.05143773901009896	0.926586825303059
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	double_older_upper_bounds	3q12.3	371	19.96	0.3705964730442308	0.537457253584785	0.09194627337098416	0.8012156193485177
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	double_older_upper_bounds	3q13.2	347	2.0	0.025068390574137456	0.8349254932969992	0.14000611612886338	0.1518610661017456
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	double_older_upper_bounds	3q27.2	369	2.0	0.025064515459300614	0.8336760899703343	0.14125939457036507	0.15069700715206896
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	double_older_upper_bounds	4q32.3	364	33.46	0.5472358618268016	0.38680216368890363	0.06596197448429475	0.8924295381061489
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	double_older_upper_bounds	5p12	504	48.48	0.6861541496861974	0.265999540204488	0.047846310109314616	0.9348143322380965
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	double_older_upper_bounds	5q33.3	481	2.0	0.025050283871437852	0.8283087075860669	0.1466410085424953	0.14590305378471816
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	older_loci_unlimited_time	12q13.2	237	2.0	0.02509855903288848	0.8427133990343276	0.13218804193278388	0.15957213697030817
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	older_loci_unlimited_time	1p31.1b	67	2.0	0.02534011852806653	0.8689677905176846	0.10569209095424892	0.19338847011876514
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	older_loci_unlimited_time	1q22	348	2.0	0.025068203802361855	0.8348669656026441	0.14006483059499408	0.15180611132016622
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	older_loci_unlimited_time	3q13.2	347	2.0	0.025068390574137456	0.8349254932969992	0.14000611612886338	0.1518610661017456
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	older_loci_unlimited_time	3q27.2	369	2.0	0.025064515459300614	0.8336760899703343	0.14125939457036507	0.15069700715206896
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	older_loci_unlimited_time	5q33.3	481	2.0	0.025050283871437852	0.8283087075860669	0.1466410085424953	0.14590305378471816
Dumont_Eichler_2013	mean_across_families	3.2e-06	10000	individual_older_upper_bounds	10p12.1	427	2.91	0.22329504203947845	0.3368066060902167	0.43989835187030485	0.3366967223890262
Dumont_Eichler_2013	mean_across_families	3.2e-06	10000	individual_older_upper_bounds	11q23.3	523	24.18	0.9489443241743116	0.02155514644273353	0.029500529382954842	0.9698495737642221
Dumont_Eichler_2013	mean_across_families	3.2e-06	10000	individual_older_upper_bounds	12q13.2	237	2.0	0.12941547343044768	0.4089580687505721	0.4616264578189802	0.21896157715387632
Dumont_Eichler_2013	mean_across_families	3.2e-06	10000	individual_older_upper_bounds	19p12e	489	23.47	0.9440879618990331	0.023809604300068666	0.032102433800898236	0.9671145772973102
Dumont_Eichler_2013	mean_across_families	3.2e-06	10000	individual_older_upper_bounds	1p31.1b	67	2.0	0.13055733147663276	0.4803383390178107	0.38910432950555657	0.25123525801359325
Dumont_Eichler_2013	mean_across_families	3.2e-06	10000	individual_older_upper_bounds	1q22	348	2.0	0.12927179250199888	0.38937678399379033	0.48135142350421084	0.21170467992930728
Dumont_Eichler_2013	mean_across_families	3.2e-06	10000	individual_older_upper_bounds	1q23.3	350	14.14	0.8154508572044405	0.08202937586441338	0.10251976693114608	0.888319120203128
Dumont_Eichler_2013	mean_across_families	3.2e-06	10000	individual_older_upper_bounds	21q21.1	181	6.27	0.4948101909300081	0.24436263141591946	0.26082717765407243	0.654824935216197
Dumont_Eichler_2013	mean_across_families	3.2e-06	10000	individual_older_upper_bounds	22q11.21	217	3.34	0.2649431719877233	0.3474782647666879	0.38757856324558876	0.4060296503272672
Dumont_Eichler_2013	mean_across_families	3.2e-06	10000	individual_older_upper_bounds	3p25.3	381	21.96	0.9321712917750499	0.02982274365786869	0.03800596456708144	0.9608257518730384
Dumont_Eichler_2013	mean_across_families	3.2e-06	10000	individual_older_upper_bounds	3q12.3	371	9.98	0.6856784589705529	0.13867189385202214	0.17564964717742496	0.7960711534621071
Dumont_Eichler_2013	mean_across_families	3.2e-06	10000	individual_older_upper_bounds	3q13.2	347	2.0	0.12927267668265818	0.3895199837273955	0.4812073395899463	0.21175578763733455
Dumont_Eichler_2013	mean_across_families	3.2e-06	10000	individual_older_upper_bounds	3q27.2	369	2.0	0.12925433149376783	0.38647229733483857	0.4842733711713936	0.21067399390816036
Dumont_Eichler_2013	mean_across_families	3.2e-06	10000	individual_older_upper_bounds	4q32.3	364	16.73	0.8675228940094618	0.05858889057391274	0.07388821541662545	0.9215133381401565
Dumont_Eichler_2013	mean_across_families	3.2e-06	10000	individual_older_upper_bounds	5p12	504	24.24	0.9493353972551994	0.021491683959692545	0.029172918785108012	0.970186335356698
Dumont_Eichler_2013	mean_across_families	3.2e-06	10000	individual_older_upper_bounds	5q33.3	481	2.0	0.12918695172819228	0.37359803294502003	0.4972150153267877	0.2062365039106804
Dumont_Eichler_2013	mean_across_families	3.2e-06	10000	double_older_upper_bounds	10p12.1	427	5.82	0.46463916749500245	0.23197335194465343	0.30338748056034415	0.6049779244919103
Dumont_Eichler_2013	mean_across_families	3.2e-06	10000	double_older_upper_bounds	11q23.3	523	48.36	0.997688546100833	0.0009758704881771456	0.0013355834109898363	0.9986631119594254
Dumont_Eichler_2013	mean_across_families	3.2e-06	10000	double_older_upper_bounds	12q13.2	237	2.0	0.12941547343044768	0.4089580687505721	0.4616264578189802	0.21896157715387632
Dumont_Eichler_2013	mean_across_families	3.2e-06	10000	double_older_upper_bounds	19p12e	489	46.94	0.9972278596603532	0.001180489332758032	0.0015916510068887573	0.9984064678454013
