outcome	exposure_id	old_p_pedigree_cluster	refit_model_status	refit_p_pedigree_cluster	refit_beta	refit_n	was_refit	analysis_p_pedigree_cluster	q_bh_finite_model_suite	adjustment	analysis_model_status	analysis_n	included_in_bh_family	bh_family_size	bh_exclusion_reason
Mandage2017_EBV_in_silico	general::type2_compatible_env_units	0.172923838434897	fit	0.1889053101078887	0.1044822389401459	116.0	True	0.1889053101078887	0.8939043140225621	general::type2_physical_units	fit	116	True	174	
Mandage2017_EBV_in_silico	HML-2_7p22.1::gag_compatible_fraction	0.193284565271441	NA	NA	NA	NA	False	0.193284565271441	0.8939043140225621	NA	fit	116	True	174	
Houldcroft2014_EBV_qPCR	general::type1_physical_units	0.206221690055008	fit	0.1980147487498352	-0.0094624801672469	47.0	True	0.1980147487498352	0.8939043140225621	NA	fit	47	True	174	
Houldcroft2014_EBV_qPCR	HML-2_11q22.1::structural::solo_ltr_vs_any_provirus	0.201095509182817	NA	NA	NA	NA	False	0.201095509182817	0.8939043140225621	NA	fit	41	True	174	
Houldcroft2014_EBV_qPCR	HML-2_11q22.1::structural::solo_ltr_vs_provirus	0.201095509182817	NA	NA	NA	NA	False	0.201095509182817	0.8939043140225621	NA	fit	41	True	174	
Houldcroft2014_EBV_qPCR	HML-2_5p13.3::orf::orf_env	0.203774421201432	NA	NA	NA	NA	False	0.203774421201432	0.8939043140225621	HML-2_5p13.3::orf::orf_env::provirus_dosage_adjustment	fit	47	True	174	
Houldcroft2014_EBV_qPCR	HML-2_19p12c::structural::provirus_vs_absent	0.20581052753318	NA	NA	NA	NA	False	0.20581052753318	0.8939043140225621	NA	fit	47	True	174	
Im2012_intrinsic_growth	general::type1_type2_log_ratio	0.110671187075013	fit	0.2211141752051859	-2.225206547914917	34.0	True	0.2211141752051859	0.8939043140225621	NA	fit	34	True	174	
Houldcroft2014_EBV_qPCR	general::type1_compatible_pol_units	0.52310203326042	fit	0.221942863192855	0.0309614777363654	47.0	True	0.221942863192855	0.8939043140225621	general::type1_physical_units	fit	47	True	174	
Im2012_intrinsic_growth	general::type1_fraction	0.107236430582184	fit	0.2219645723098511	-14.24158555446823	34.0	True	0.2219645723098511	0.8939043140225621	NA	fit	34	True	174	
Im2012_intrinsic_growth	HML-2_7p22.1::gag_compatible_fraction	0.223313525793043	NA	NA	NA	NA	False	0.223313525793043	0.8939043140225621	NA	fit	34	True	174	
Houldcroft2014_EBV_qPCR	general::type2_compatible_env_units	0.236502245144894	fit	0.2254599881094006	0.0173331039110804	47.0	True	0.2254599881094006	0.8939043140225621	general::type2_physical_units	fit	47	True	174	
Im2012_intrinsic_growth	HML-2_1q22::orf::orf_pol	0.226793504810832	NA	NA	NA	NA	False	0.226793504810832	0.8939043140225621	HML-2_1q22::orf::orf_pol::provirus_dosage_adjustment	fit	34	True	174	
Houldcroft2014_EBV_qPCR	general::type1_minus_type2_units	0.168438446799083	fit	0.2306444811334454	0.0054681768595503	47.0	True	0.2306444811334454	0.8939043140225621	NA	fit	47	True	174	
Houldcroft2014_EBV_qPCR	HML-2_1p31.1b::max_haplotype_cn	0.232667918661511	NA	NA	NA	NA	False	0.232667918661511	0.8939043140225621	NA	fit	47	True	174	
Im2012_intrinsic_growth	HML-2_7p22.1::any_array	0.250172391503794	NA	NA	NA	NA	False	0.250172391503794	0.8939043140225621	NA	fit	34	True	174	
Houldcroft2014_EBV_qPCR	HML-2_10p12.1::orf::orf_gag_pro	0.250708798527092	NA	NA	NA	NA	False	0.250708798527092	0.8939043140225621	HML-2_10p12.1::orf::orf_gag_pro::provirus_dosage_adjustment	fit	47	True	174	
Houldcroft2014_EBV_qPCR	HML-2_10p12.1::orf::orf_gag_pro_pol	0.250708798527092	NA	NA	NA	NA	False	0.250708798527092	0.8939043140225621	HML-2_10p12.1::orf::orf_gag_pro_pol::provirus_dosage_adjustment	fit	47	True	174	
Houldcroft2014_EBV_qPCR	HML-2_10p12.1::orf::orf_pro	0.250708798527092	NA	NA	NA	NA	False	0.250708798527092	0.8939043140225621	HML-2_10p12.1::orf::orf_pro::provirus_dosage_adjustment	fit	47	True	174	
Mandage2017_EBV_in_silico	HML-2_6q14.1::structural::solo_ltr_vs_provirus	0.259001683557075	NA	NA	NA	NA	False	0.259001683557075	0.8939043140225621	NA	fit	114	True	174	
Mandage2017_EBV_in_silico	HML-2_6q14.1::structural::solo_ltr_vs_any_provirus	0.259199254622239	NA	NA	NA	NA	False	0.259199254622239	0.8939043140225621	NA	fit	115	True	174	
Im2012_intrinsic_growth	HML-2_22q11.21::orf::orf_pro	0.262006436868682	NA	NA	NA	NA	False	0.262006436868682	0.8939043140225621	HML-2_22q11.21::orf::orf_pro::provirus_dosage_adjustment	fit	34	True	174	
Mandage2017_EBV_in_silico	HML-2_1p31.1b::internal_fragment_present	0.278047528114763	NA	NA	NA	NA	False	0.278047528114763	0.900057168724704	NA	fit	116	True	174	
Houldcroft2014_EBV_qPCR	HML-2_7p22.1::compatible_gag_units	0.287817061600916	NA	NA	NA	NA	False	0.287817061600916	0.900057168724704	HML-2_7p22.1::total_physical_cn	fit	47	True	174	
Im2012_intrinsic_growth	HML-2_10p12.1::orf::orf_gag_pro	0.29155555708888	NA	NA	NA	NA	False	0.29155555708888	0.900057168724704	HML-2_10p12.1::orf::orf_gag_pro::provirus_dosage_adjustment	fit	34	True	174	
Im2012_intrinsic_growth	HML-2_10p12.1::orf::orf_gag_pro_pol	0.29155555708888	NA	NA	NA	NA	False	0.29155555708888	0.900057168724704	HML-2_10p12.1::orf::orf_gag_pro_pol::provirus_dosage_adjustment	fit	34	True	174	
Im2012_intrinsic_growth	HML-2_10p12.1::orf::orf_pro	0.29155555708888	NA	NA	NA	NA	False	0.29155555708888	0.900057168724704	HML-2_10p12.1::orf::orf_pro::provirus_dosage_adjustment	fit	34	True	174	
Mandage2017_EBV_in_silico	general::type2_compatible_rec_units	0.181873248525096	fit	0.2998949976242698	0.0616899215020281	116.0	True	0.2998949976242698	0.900057168724704	general::type2_physical_units	fit	116	True	174	
Houldcroft2014_EBV_qPCR	HML-2_5p13.3::orf::orf_secondary	0.300019056241568	NA	NA	NA	NA	False	0.300019056241568	0.900057168724704	HML-2_5p13.3::orf::orf_secondary::provirus_dosage_adjustment	fit	47	True	174	
Mandage2017_EBV_in_silico	HML-2_1p36.21c::orf::orf_secondary	0.323044655270801	NA	NA	NA	NA	False	0.323044655270801	0.9162373183884096	HML-2_1p36.21c::orf::orf_secondary::provirus_dosage_adjustment	fit	116	True	174	
Houldcroft2014_EBV_qPCR	HML-2_7p22.1::fully_compatible_units	0.328753346973618	NA	NA	NA	NA	False	0.328753346973618	0.9162373183884096	HML-2_7p22.1::total_physical_cn	fit	47	True	174	
Houldcroft2014_EBV_qPCR	HML-2_7p22.1::max_haplotype_cn	0.334326596246314	NA	NA	NA	NA	False	0.334326596246314	0.9162373183884096	NA	fit	47	True	174	
Im2012_intrinsic_growth	HML-2_7p22.1::total_physical_cn	0.341034691761417	NA	NA	NA	NA	False	0.341034691761417	0.9162373183884096	NA	fit	34	True	174	
