sample_id	filename	platform	instrument_model	basecaller	basecaller_version	accession	bioproject_accession	path
HG00706	07_13_21_R941_HG00706_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.4.6	SRR26304608	PRJNA701308	s3://human-pangenomics/working/HPRC/HG00706/raw_data/nanopore/guppy_6/07_13_21_R941_HG00706_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG00706	07_13_21_R941_HG00706_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.4.6	SRR26304608	PRJNA701308	s3://human-pangenomics/working/HPRC/HG00706/raw_data/nanopore/guppy_6/07_13_21_R941_HG00706_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG00706	07_13_21_R941_HG00706_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.4.6	SRR26304608	PRJNA701308	s3://human-pangenomics/working/HPRC/HG00706/raw_data/nanopore/guppy_6/07_13_21_R941_HG00706_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG00738	06_22_21_R941_HG00738_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.4.6	SRR26313837	PRJNA701308	s3://human-pangenomics/working/HPRC/HG00738/raw_data/nanopore/guppy_6/06_22_21_R941_HG00738_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG00738	07_13_21_R941_HG00738_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.4.6	SRR26313837	PRJNA701308	s3://human-pangenomics/working/HPRC/HG00738/raw_data/nanopore/guppy_6/07_13_21_R941_HG00738_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG00738	07_13_21_R941_HG00738_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.4.6	SRR26313837	PRJNA701308	s3://human-pangenomics/working/HPRC/HG00738/raw_data/nanopore/guppy_6/07_13_21_R941_HG00738_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01081	03_01_22_R941_HG01081_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR26373400	PRJNA701308	s3://human-pangenomics/working/HPRC/HG01081/raw_data/nanopore/guppy_6/03_01_22_R941_HG01081_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01081	03_01_22_R941_HG01081_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR26373400	PRJNA701308	s3://human-pangenomics/working/HPRC/HG01081/raw_data/nanopore/guppy_6/03_01_22_R941_HG01081_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01081	03_01_22_R941_HG01081_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR26373400	PRJNA701308	s3://human-pangenomics/working/HPRC/HG01081/raw_data/nanopore/guppy_6/03_01_22_R941_HG01081_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01081	03_01_22_R941_HG01081_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR26373400	PRJNA701308	s3://human-pangenomics/working/HPRC/HG01081/raw_data/nanopore/guppy_6/03_01_22_R941_HG01081_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01175	1_11_23_R941_HG01175_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR31366961	PRJNA701308	s3://human-pangenomics/working/HPRC/HG01175/raw_data/nanopore/guppy_6/1_11_23_R941_HG01175_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01175	1_11_23_R941_HG01175_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR31366946	PRJNA701308	s3://human-pangenomics/working/HPRC/HG01175/raw_data/nanopore/guppy_6/1_11_23_R941_HG01175_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01175	HG01175_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR31366911	PRJNA701308	s3://human-pangenomics/working/HPRC/HG01175/raw_data/nanopore/guppy_6/HG01175_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01175	HG01175_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR31366910	PRJNA701308	s3://human-pangenomics/working/HPRC/HG01175/raw_data/nanopore/guppy_6/HG01175_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01175	HG01175_5_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR31366909	PRJNA701308	s3://human-pangenomics/working/HPRC/HG01175/raw_data/nanopore/guppy_6/HG01175_5_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01255	07_13_21_R941_HG01255_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.4.6	SRR26313852	PRJNA701308	s3://human-pangenomics/working/HPRC/HG01255/raw_data/nanopore/guppy_6/07_13_21_R941_HG01255_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01255	07_13_21_R941_HG01255_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.4.6	SRR26313852	PRJNA701308	s3://human-pangenomics/working/HPRC/HG01255/raw_data/nanopore/guppy_6/07_13_21_R941_HG01255_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01255	07_13_21_R941_HG01255_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.4.6	SRR26313852	PRJNA701308	s3://human-pangenomics/working/HPRC/HG01255/raw_data/nanopore/guppy_6/07_13_21_R941_HG01255_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01346	08_17_21_R941_HG01346_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.4.6	SRR26313833	PRJNA701308	s3://human-pangenomics/working/HPRC/HG01346/raw_data/nanopore/guppy_6/08_17_21_R941_HG01346_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01346	08_17_21_R941_HG01346_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.4.6	SRR26313833	PRJNA701308	s3://human-pangenomics/working/HPRC/HG01346/raw_data/nanopore/guppy_6/08_17_21_R941_HG01346_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01346	08_17_21_R941_HG01346_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.4.6	SRR26313833	PRJNA701308	s3://human-pangenomics/working/HPRC/HG01346/raw_data/nanopore/guppy_6/08_17_21_R941_HG01346_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01784	09_14_22_R941_HG01784_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7		PRJNA701308	s3://human-pangenomics/working/HPRC/HG01784/raw_data/nanopore/guppy_6/09_14_22_R941_HG01784_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01784	09_14_22_R941_HG01784_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7		PRJNA701308	s3://human-pangenomics/working/HPRC/HG01784/raw_data/nanopore/guppy_6/09_14_22_R941_HG01784_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01784	09_14_22_R941_HG01784_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7		PRJNA701308	s3://human-pangenomics/working/HPRC/HG01784/raw_data/nanopore/guppy_6/09_14_22_R941_HG01784_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01960	08_03_21_R941_HG01960_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7		PRJNA701308	s3://human-pangenomics/working/HPRC/HG01960/raw_data/nanopore/guppy_6/08_03_21_R941_HG01960_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01960	08_03_21_R941_HG01960_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7		PRJNA701308	s3://human-pangenomics/working/HPRC/HG01960/raw_data/nanopore/guppy_6/08_03_21_R941_HG01960_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01960	08_03_21_R941_HG01960_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7		PRJNA701308	s3://human-pangenomics/working/HPRC/HG01960/raw_data/nanopore/guppy_6/08_03_21_R941_HG01960_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01960	08_03_21_R941_HG01960_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7		PRJNA701308	s3://human-pangenomics/working/HPRC/HG01960/raw_data/nanopore/guppy_6/08_03_21_R941_HG01960_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01978	HG01978_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR31367090	PRJNA701308	s3://human-pangenomics/working/HPRC/HG01978/raw_data/nanopore/guppy_6/HG01978_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01978	HG01978_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR31367091	PRJNA701308	s3://human-pangenomics/working/HPRC/HG01978/raw_data/nanopore/guppy_6/HG01978_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01978	HG01978_5_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR31367092	PRJNA701308	s3://human-pangenomics/working/HPRC/HG01978/raw_data/nanopore/guppy_6/HG01978_5_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01978	HG01978_PAK27968_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR31366992	PRJNA701308	s3://human-pangenomics/working/HPRC/HG01978/raw_data/nanopore/guppy_6/HG01978_PAK27968_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01978	HG01978_PAM54485_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR31366993	PRJNA701308	s3://human-pangenomics/working/HPRC/HG01978/raw_data/nanopore/guppy_6/HG01978_PAM54485_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01978	HG01978_PAM54633_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR31366994	PRJNA701308	s3://human-pangenomics/working/HPRC/HG01978/raw_data/nanopore/guppy_6/HG01978_PAM54633_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01978	HG01978_PAM59653_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR31366995	PRJNA701308	s3://human-pangenomics/working/HPRC/HG01978/raw_data/nanopore/guppy_6/HG01978_PAM59653_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01978	HG01978_PAM62027_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR31366996	PRJNA701308	s3://human-pangenomics/working/HPRC/HG01978/raw_data/nanopore/guppy_6/HG01978_PAM62027_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG01978	HG01978_PAM62481_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR31366997	PRJNA701308	s3://human-pangenomics/working/HPRC/HG01978/raw_data/nanopore/guppy_6/HG01978_PAM62481_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02015	10_12_21_R941_HG02015_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR26373420	PRJNA701308	s3://human-pangenomics/working/HPRC/HG02015/raw_data/nanopore/guppy_6/10_12_21_R941_HG02015_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02015	10_12_21_R941_HG02015_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR26373420	PRJNA701308	s3://human-pangenomics/working/HPRC/HG02015/raw_data/nanopore/guppy_6/10_12_21_R941_HG02015_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02015	10_12_21_R941_HG02015_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR26373420	PRJNA701308	s3://human-pangenomics/working/HPRC/HG02015/raw_data/nanopore/guppy_6/10_12_21_R941_HG02015_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02015	10_12_21_R941_HG02015_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR26373420	PRJNA701308	s3://human-pangenomics/working/HPRC/HG02015/raw_data/nanopore/guppy_6/10_12_21_R941_HG02015_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02040	06_28_22_R941_HG02040_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR26373399	PRJNA701308	s3://human-pangenomics/working/HPRC/HG02040/raw_data/nanopore/guppy_6/06_28_22_R941_HG02040_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02040	06_28_22_R941_HG02040_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR26373399	PRJNA701308	s3://human-pangenomics/working/HPRC/HG02040/raw_data/nanopore/guppy_6/06_28_22_R941_HG02040_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02040	06_28_22_R941_HG02040_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR26373399	PRJNA701308	s3://human-pangenomics/working/HPRC/HG02040/raw_data/nanopore/guppy_6/06_28_22_R941_HG02040_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02055	05_03_22_R94_HG02055_25FRA_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7		PRJNA731524	s3://human-pangenomics/working/HPRC_PLUS/HG02055/raw_data/nanopore/guppy_6/05_03_22_R94_HG02055_25FRA_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02055	05_03_22_R94_HG02055_50FRA_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7		PRJNA731524	s3://human-pangenomics/working/HPRC_PLUS/HG02055/raw_data/nanopore/guppy_6/05_03_22_R94_HG02055_50FRA_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02055	05_03_22_R94_HG02055_50FRA_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7		PRJNA731524	s3://human-pangenomics/working/HPRC_PLUS/HG02055/raw_data/nanopore/guppy_6/05_03_22_R94_HG02055_50FRA_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02055	05_03_22_R94_HG02055_Control_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7		PRJNA731524	s3://human-pangenomics/working/HPRC_PLUS/HG02055/raw_data/nanopore/guppy_6/05_03_22_R94_HG02055_Control_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02055	05_03_22_R94_HG02055_Control_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7		PRJNA731524	s3://human-pangenomics/working/HPRC_PLUS/HG02055/raw_data/nanopore/guppy_6/05_03_22_R94_HG02055_Control_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02055	05_03_22_R94_HG02055_NEB300_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7		PRJNA731524	s3://human-pangenomics/working/HPRC_PLUS/HG02055/raw_data/nanopore/guppy_6/05_03_22_R94_HG02055_NEB300_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02055	05_03_22_R94_HG02055_NEB300_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7		PRJNA731524	s3://human-pangenomics/working/HPRC_PLUS/HG02055/raw_data/nanopore/guppy_6/05_03_22_R94_HG02055_NEB300_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02055	05_03_22_R94_HG02055_NEB650_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7		PRJNA731524	s3://human-pangenomics/working/HPRC_PLUS/HG02055/raw_data/nanopore/guppy_6/05_03_22_R94_HG02055_NEB650_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02055	05_03_22_R94_HG02055_NEB650_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7		PRJNA731524	s3://human-pangenomics/working/HPRC_PLUS/HG02055/raw_data/nanopore/guppy_6/05_03_22_R94_HG02055_NEB650_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02055	HG02055_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7		PRJNA731524	s3://human-pangenomics/working/HPRC_PLUS/HG02055/raw_data/nanopore/guppy_6/HG02055_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02055	HG02055_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7		PRJNA731524	s3://human-pangenomics/working/HPRC_PLUS/HG02055/raw_data/nanopore/guppy_6/HG02055_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02055	HG02055_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7		PRJNA731524	s3://human-pangenomics/working/HPRC_PLUS/HG02055/raw_data/nanopore/guppy_6/HG02055_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02074	07_13_21_R941_HG02074_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.4.6	SRR26313835	PRJNA701308	s3://human-pangenomics/working/HPRC/HG02074/raw_data/nanopore/guppy_6/07_13_21_R941_HG02074_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02074	07_13_21_R941_HG02074_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.4.6	SRR26313835	PRJNA701308	s3://human-pangenomics/working/HPRC/HG02074/raw_data/nanopore/guppy_6/07_13_21_R941_HG02074_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02074	07_13_21_R941_HG02074_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.4.6	SRR26313835	PRJNA701308	s3://human-pangenomics/working/HPRC/HG02074/raw_data/nanopore/guppy_6/07_13_21_R941_HG02074_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02083	12_08_21_R941_HG02083_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.4.6	SRR26313820	PRJNA701308	s3://human-pangenomics/working/HPRC/HG02083/raw_data/nanopore/guppy_6/12_08_21_R941_HG02083_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02083	12_08_21_R941_HG02083_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.4.6	SRR26313820	PRJNA701308	s3://human-pangenomics/working/HPRC/HG02083/raw_data/nanopore/guppy_6/12_08_21_R941_HG02083_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02083	12_08_21_R941_HG02083_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.4.6	SRR26313820	PRJNA701308	s3://human-pangenomics/working/HPRC/HG02083/raw_data/nanopore/guppy_6/12_08_21_R941_HG02083_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02155	06_28_22_R941_HG02155_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR26373417	PRJNA701308	s3://human-pangenomics/working/HPRC/HG02155/raw_data/nanopore/guppy_6/06_28_22_R941_HG02155_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02155	06_28_22_R941_HG02155_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR26373417	PRJNA701308	s3://human-pangenomics/working/HPRC/HG02155/raw_data/nanopore/guppy_6/06_28_22_R941_HG02155_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02155	06_28_22_R941_HG02155_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR26373417	PRJNA701308	s3://human-pangenomics/working/HPRC/HG02155/raw_data/nanopore/guppy_6/06_28_22_R941_HG02155_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02165	06_28_22_R941_HG02165_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR26373398	PRJNA701308	s3://human-pangenomics/working/HPRC/HG02165/raw_data/nanopore/guppy_6/06_28_22_R941_HG02165_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02165	06_28_22_R941_HG02165_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR26373398	PRJNA701308	s3://human-pangenomics/working/HPRC/HG02165/raw_data/nanopore/guppy_6/06_28_22_R941_HG02165_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02165	06_28_22_R941_HG02165_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR26373398	PRJNA701308	s3://human-pangenomics/working/HPRC/HG02165/raw_data/nanopore/guppy_6/06_28_22_R941_HG02165_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02273	04_12_22_R941_HG02273_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR26373415	PRJNA701308	s3://human-pangenomics/working/HPRC/HG02273/raw_data/nanopore/guppy_6/04_12_22_R941_HG02273_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02273	04_12_22_R941_HG02273_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR26373415	PRJNA701308	s3://human-pangenomics/working/HPRC/HG02273/raw_data/nanopore/guppy_6/04_12_22_R941_HG02273_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02273	04_12_22_R941_HG02273_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.5.7	SRR26373415	PRJNA701308	s3://human-pangenomics/working/HPRC/HG02273/raw_data/nanopore/guppy_6/04_12_22_R941_HG02273_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
HG02293	08_17_21_R941_HG02293_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	OXFORD_NANOPORE	PromethION	guppy	6.4.6	SRR26313859	PRJNA701308	s3://human-pangenomics/working/HPRC/HG02293/raw_data/nanopore/guppy_6/08_17_21_R941_HG02293_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam
