alignment	record	reason
11q22.1_carrier_kcon.aln.fa	NA19338_hap2	source_identity_ambiguous_0_exact_matches_of_2_candidates
11q22.1_carrier_kcon.aln.fa	chm13v2.0_maskedY_rCRS.fa.PanSN	unrecognized_or_reference_alignment_record
11q22.1_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN	unrecognized_or_reference_alignment_record
11q22.1_carrier_kcon.aln.fa	hg002v1.1.pat.PanSN	unrecognized_or_reference_alignment_record
11q22.1_carrier_kcon.aln.fa	HG02818_h1	no_included_public_present_original_source_slot
11q22.1_carrier_kcon.aln.fa	HG02818_h2	no_included_public_present_original_source_slot
11q22.1_carrier_kcon.aln.fa	NA19331_h1	source_identity_ambiguous_0_exact_matches_of_2_candidates
11q23.3_carrier_kcon.aln.fa	HG03704_mat	source_identity_ambiguous_0_exact_matches_of_2_candidates
11q23.3_carrier_kcon.aln.fa	HG06807_mat_v1.0.genbank	unrecognized_or_reference_alignment_record
11q23.3_carrier_kcon.aln.fa	HG06807_pat_v1.0.genbank	unrecognized_or_reference_alignment_record
11q23.3_carrier_kcon.aln.fa	chm13v2.0_maskedY_rCRS.fa.PanSN	unrecognized_or_reference_alignment_record
11q23.3_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN	unrecognized_or_reference_alignment_record
11q23.3_carrier_kcon.aln.fa	hg002v1.1.pat.PanSN	unrecognized_or_reference_alignment_record
11q23.3_carrier_kcon.aln.fa	HG02818_h1	no_included_public_present_original_source_slot
11q23.3_carrier_kcon.aln.fa	HG02818_h2	no_included_public_present_original_source_slot
12p11.21_carrier_kcon.aln.fa	HG06807_mat_v1.0.genbank	unrecognized_or_reference_alignment_record
12p11.21_carrier_kcon.aln.fa	HG06807_pat_v1.0.genbank	unrecognized_or_reference_alignment_record
12p11.21_carrier_kcon.aln.fa	chm13v2.0_maskedY_rCRS.fa.PanSN	unrecognized_or_reference_alignment_record
12p11.21_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN	unrecognized_or_reference_alignment_record
12p11.21_carrier_kcon.aln.fa	hg002v1.1.pat.PanSN	unrecognized_or_reference_alignment_record
12q13.2_carrier_kcon.aln.fa	HG06807_mat_v1.0.genbank	unrecognized_or_reference_alignment_record
12q13.2_carrier_kcon.aln.fa	HG06807_pat_v1.0.genbank	unrecognized_or_reference_alignment_record
12q13.2_carrier_kcon.aln.fa	chm13v2.0_maskedY_rCRS.fa.PanSN	unrecognized_or_reference_alignment_record
12q13.2_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN	unrecognized_or_reference_alignment_record
12q13.2_carrier_kcon.aln.fa	hg002v1.1.pat.PanSN	unrecognized_or_reference_alignment_record
12q13.2_carrier_kcon.aln.fa	HG00513_h2	source_identity_ambiguous_0_exact_matches_of_2_candidates
12q14.1_carrier_kcon.aln.fa	HG04157_pat	source_identity_ambiguous_0_exact_matches_of_2_candidates
12q14.1_carrier_kcon.aln.fa	HG06807_mat_v1.0.genbank	unrecognized_or_reference_alignment_record
12q14.1_carrier_kcon.aln.fa	HG06807_pat_v1.0.genbank	unrecognized_or_reference_alignment_record
12q14.1_carrier_kcon.aln.fa	chm13v2.0_maskedY_rCRS.fa.PanSN	unrecognized_or_reference_alignment_record
12q14.1_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN	unrecognized_or_reference_alignment_record
12q14.1_carrier_kcon.aln.fa	hg002v1.1.pat.PanSN	unrecognized_or_reference_alignment_record
12q24.33_carrier_kcon.aln.fa	HG01081_mat	source_identity_ambiguous_0_exact_matches_of_2_candidates
12q24.33_carrier_kcon.aln.fa	HG01175_pat	source_identity_ambiguous_0_exact_matches_of_2_candidates
12q24.33_carrier_kcon.aln.fa	HG01255_mat	source_identity_ambiguous_0_exact_matches_of_2_candidates
12q24.33_carrier_kcon.aln.fa	HG02818_pat	source_identity_ambiguous_0_exact_matches_of_2_candidates
12q24.33_carrier_kcon.aln.fa	HG03470_hap1	source_identity_ambiguous_0_exact_matches_of_4_candidates
12q24.33_carrier_kcon.aln.fa	HG06807_pat_v1.0.genbank	unrecognized_or_reference_alignment_record
12q24.33_carrier_kcon.aln.fa	NA20850_hap2	source_identity_ambiguous_0_exact_matches_of_2_candidates
12q24.33_carrier_kcon.aln.fa	chm13v2.0_maskedY_rCRS.fa.PanSN	unrecognized_or_reference_alignment_record
12q24.33_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN	unrecognized_or_reference_alignment_record
12q24.33_carrier_kcon.aln.fa	hg002v1.1.pat.PanSN	unrecognized_or_reference_alignment_record
12q24.33_carrier_kcon.aln.fa	HG00513_h1	source_identity_ambiguous_0_exact_matches_of_2_candidates
12q24.33_carrier_kcon.aln.fa	HG00731_h1	source_identity_ambiguous_0_exact_matches_of_2_candidates
12q24.33_carrier_kcon.aln.fa	HG03248_h1	source_identity_ambiguous_0_exact_matches_of_2_candidates
12q24.33_carrier_kcon.aln.fa	NA19317_h1	source_identity_ambiguous_0_exact_matches_of_2_candidates
12q24.33_carrier_kcon.aln.fa	NA19384_h2	source_identity_ambiguous_0_exact_matches_of_2_candidates
12q24.33_carrier_kcon.aln.fa	NA19434_h2	source_identity_ambiguous_0_exact_matches_of_2_candidates
13p13_carrier_kcon.aln.fa	HG03874_hap1#c1	source_identity_ambiguous_2_exact_matches_of_2_candidates
13p13_carrier_kcon.aln.fa	chm13v2.0_maskedY_rCRS.fa.PanSN	unrecognized_or_reference_alignment_record
13p13_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN	unrecognized_or_reference_alignment_record
13p13_carrier_kcon.aln.fa	HG00171_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
13p13_carrier_kcon.aln.fa	HG02587_h2	source_identity_ambiguous_0_exact_matches_of_1_candidates
13p13_carrier_kcon.aln.fa	HG02769_h2	physical_locus_remains_unresolved_or_pooled
13p13_carrier_kcon.aln.fa	HG03520_h2	physical_locus_remains_unresolved_or_pooled
13p13_carrier_kcon.aln.fa	NA12329_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
13p13_carrier_kcon.aln.fa	NA19384_h1	physical_locus_remains_unresolved_or_pooled
14q11.2_carrier_kcon.aln.fa	HG06807_mat_v1.0.genbank	unrecognized_or_reference_alignment_record
14q11.2_carrier_kcon.aln.fa	HG06807_pat_v1.0.genbank	unrecognized_or_reference_alignment_record
14q11.2_carrier_kcon.aln.fa	chm13v2.0_maskedY_rCRS.fa.PanSN	unrecognized_or_reference_alignment_record
14q11.2_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN	unrecognized_or_reference_alignment_record
14q11.2_carrier_kcon.aln.fa	hg002v1.1.pat.PanSN	unrecognized_or_reference_alignment_record
14q11.2_carrier_kcon.aln.fa	HG02818_h1	no_included_public_present_original_source_slot
14q11.2_carrier_kcon.aln.fa	HG02818_h2	no_included_public_present_original_source_slot
14q32.33_carrier_kcon.aln.fa	HG00140_hap2#c1	no_included_public_present_original_source_slot
14q32.33_carrier_kcon.aln.fa	HG06807_mat_v1.0.genbank	unrecognized_or_reference_alignment_record
14q32.33_carrier_kcon.aln.fa	HG06807_pat_v1.0.genbank	unrecognized_or_reference_alignment_record
14q32.33_carrier_kcon.aln.fa	NA18879_hap1#c2	source_identity_ambiguous_0_exact_matches_of_1_candidates
14q32.33_carrier_kcon.aln.fa	NA19338_hap1#c1	source_identity_ambiguous_0_exact_matches_of_1_candidates
14q32.33_carrier_kcon.aln.fa	NA21102_hap2#c1	source_identity_ambiguous_0_exact_matches_of_1_candidates
14q32.33_carrier_kcon.aln.fa	chm13v2.0_maskedY_rCRS.fa.PanSN	unrecognized_or_reference_alignment_record
14q32.33_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN	unrecognized_or_reference_alignment_record
14q32.33_carrier_kcon.aln.fa	hg002v1.1.pat.PanSN	unrecognized_or_reference_alignment_record
14q32.33_carrier_kcon.aln.fa	HG02818_h1	no_included_public_present_original_source_slot
14q32.33_carrier_kcon.aln.fa	HG02818_h2	no_included_public_present_original_source_slot
15p13a_carrier_kcon.aln.fa	HG00423_pat#c2	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13a_carrier_kcon.aln.fa	HG00673_pat#c2	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13a_carrier_kcon.aln.fa	HG01123_mat#c2	physical_locus_remains_unresolved_or_pooled
15p13a_carrier_kcon.aln.fa	HG02040_hap1#c2	source_identity_ambiguous_0_exact_matches_of_2_candidates
15p13a_carrier_kcon.aln.fa	HG02135_pat#c2	physical_locus_remains_unresolved_or_pooled
15p13a_carrier_kcon.aln.fa	HG02178_hap2#c2	source_identity_ambiguous_0_exact_matches_of_2_candidates
15p13a_carrier_kcon.aln.fa	HG02293_mat#c1	source_identity_ambiguous_2_exact_matches_of_2_candidates
15p13a_carrier_kcon.aln.fa	HG02886_mat#c2	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13a_carrier_kcon.aln.fa	HG02965_hap2#c2	physical_locus_remains_unresolved_or_pooled
15p13a_carrier_kcon.aln.fa	HG03874_hap1#c3	source_identity_ambiguous_0_exact_matches_of_3_candidates
15p13a_carrier_kcon.aln.fa	HG03942_pat#c2	source_identity_ambiguous_2_exact_matches_of_3_candidates
15p13a_carrier_kcon.aln.fa	HG06807_mat_v1.0.genbank	unrecognized_or_reference_alignment_record
15p13a_carrier_kcon.aln.fa	HG06807_pat_v1.0.genbank	unrecognized_or_reference_alignment_record
15p13a_carrier_kcon.aln.fa	NA18943_hap2	physical_locus_remains_unresolved_or_pooled
15p13a_carrier_kcon.aln.fa	NA18944_hap1#c2	physical_locus_remains_unresolved_or_pooled
15p13a_carrier_kcon.aln.fa	NA18982_hap1	physical_locus_remains_unresolved_or_pooled
15p13a_carrier_kcon.aln.fa	NA19043_hap1#c1	physical_locus_remains_unresolved_or_pooled
15p13a_carrier_kcon.aln.fa	NA19468_hap1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13a_carrier_kcon.aln.fa	NA20503_hap2#c1	physical_locus_remains_unresolved_or_pooled
15p13a_carrier_kcon.aln.fa	NA20850_hap1#c1	source_identity_ambiguous_2_exact_matches_of_3_candidates
15p13a_carrier_kcon.aln.fa	NA20850_hap1#c4	source_identity_ambiguous_0_exact_matches_of_3_candidates
15p13a_carrier_kcon.aln.fa	chm13v2.0_maskedY_rCRS.fa.PanSN	unrecognized_or_reference_alignment_record
15p13a_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN#c1	unrecognized_or_reference_alignment_record
15p13a_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN#c2	unrecognized_or_reference_alignment_record
15p13a_carrier_kcon.aln.fa	hg002v1.1.pat.PanSN#c1	unrecognized_or_reference_alignment_record
