observation	focal_count	rival_classes	rival_count_each	conditioned_total_units	ascertainment_scenario	focal_ascertainment_odds_low	focal_ascertainment_odds_high	dirichlet_alpha_per_lesion	source_opportunity_cv	model	simulations	posterior_importance_effective_sample_size	model_evidence_method	log_marginal_likelihood	equal_model_prior_share	likelihood_ratio_effect_vs_source_only
orthology_aware_floor	16	6	1	22	broad	0.25	4.0	20.0	0.22360679774997896	source_plus_focal_effect	1000000	19.061487724943653	deterministic_Gauss-Legendre_quadrature	-7.293686727342675	0.9958927466306923	242.47170970084332
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	0.1	3.162277660168379	source_opportunity_only	1000000	991093.1343341123	deterministic_Gauss-Legendre_quadrature	-17.412843801529483	0.3938778467023594	1.5388581977185074
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	0.1	3.162277660168379	source_plus_focal_effect	1000000	950905.9805070289	deterministic_Gauss-Legendre_quadrature	-16.98180309015206	0.6061221532976393	1.5388581977185074
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	0.25	2.0	source_opportunity_only	1000000	951633.9887076756	deterministic_Gauss-Legendre_quadrature	-14.181750878839129	0.26025850333302275	2.8423336305765807
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	0.25	2.0	source_plus_focal_effect	1000000	748172.9174116981	deterministic_Gauss-Legendre_quadrature	-13.137125463170136	0.7397414966669777	2.8423336305765807
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	0.5	1.414213562373095	source_opportunity_only	1000000	853030.5487786129	deterministic_Gauss-Legendre_quadrature	-12.902800451198125	0.12271292201830622	7.149101036407734
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	0.5	1.414213562373095	source_plus_focal_effect	1000000	338752.3430659327	deterministic_Gauss-Legendre_quadrature	-10.935813831570528	0.8772870779816944	7.149101036407734
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	1.0	1.0	source_opportunity_only	1000000	660957.0621164474	deterministic_Gauss-Legendre_quadrature	-12.84034200176865	0.03008899714599528	32.23474009944181
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	1.0	1.0	source_plus_focal_effect	1000000	13081.266673044674	deterministic_Gauss-Legendre_quadrature	-9.367297245720692	0.9699110028540042	32.23474009944181
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	2.0	0.7071067811865475	source_opportunity_only	1000000	430188.6011332522	deterministic_Gauss-Legendre_quadrature	-13.934416357816298	0.003728166498640965	267.2283638256316
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	2.0	0.7071067811865475	source_plus_focal_effect	1000000	439.14992133447635	deterministic_Gauss-Legendre_quadrature	-8.346312769745502	0.9962718335013591	267.2283638256316
