observation	ascertainment_scenario	dirichlet_alpha_per_lesion	model	parameter	q025	q25	median	q75	q975
orthology_aware_floor	narrow	0.1	source_opportunity_only	source_ratio	5.5411619840359405	10.432862340734957	14.780585045080713	21.184953416613393	43.752759778364755
orthology_aware_floor	narrow	0.1	source_opportunity_only	focal_effect	1.0	1.0	1.0	1.0	1.0
orthology_aware_floor	narrow	0.1	source_opportunity_only	focal_ascertainment	0.6860970788140988	0.8404571477378976	1.0346235503882812	1.2543782023473695	1.4740789607496525
orthology_aware_floor	narrow	0.1	source_opportunity_only	focal_probability	0.5115675625569285	0.6486600470772207	0.7157983500805929	0.7767566520358248	0.8720662772763836
orthology_aware_floor	narrow	0.1	source_plus_focal_effect	source_ratio	0.24639018547649275	0.8048790621591362	1.938719260344982	4.915176064147167	18.281114622602182
orthology_aware_floor	narrow	0.1	source_plus_focal_effect	focal_effect	1.155063482951531	3.3325288329135194	8.592992248146853	20.647409204386413	45.70350746990104
orthology_aware_floor	narrow	0.1	source_plus_focal_effect	focal_ascertainment	0.6843123614541742	0.8250502429029118	1.0109455041496525	1.2332727773345673	1.471157375565124
orthology_aware_floor	narrow	0.1	source_plus_focal_effect	focal_probability	0.5246207939359274	0.6623342841446315	0.7292966020809594	0.7897411673541844	0.8820658116394999
orthology_aware_floor	narrow	0.25	source_opportunity_only	source_ratio	4.985638236931513	9.12102353535812	12.691811649633356	17.87072738198723	35.54857202241019
orthology_aware_floor	narrow	0.25	source_opportunity_only	focal_effect	1.0	1.0	1.0	1.0	1.0
orthology_aware_floor	narrow	0.25	source_opportunity_only	focal_ascertainment	0.6905664247939264	0.8746523039669071	1.0793718811389208	1.287478657299951	1.4786026621348354
orthology_aware_floor	narrow	0.25	source_opportunity_only	focal_probability	0.4894749369702689	0.6236761091259245	0.6903596631725996	0.7521702486459446	0.850940508794505
orthology_aware_floor	narrow	0.25	source_plus_focal_effect	source_ratio	0.24453587127818335	0.7348991354068072	1.5936490935705205	3.65807562476294	13.59232889858028
orthology_aware_floor	narrow	0.25	source_plus_focal_effect	focal_effect	1.2694837195806072	4.319320040774697	10.352421224414856	22.5321465640005	46.01669414120768
orthology_aware_floor	narrow	0.25	source_plus_focal_effect	focal_ascertainment	0.6851643034593763	0.8314903409418881	1.0195561895299452	1.2407175833394277	1.4719515493636757
orthology_aware_floor	narrow	0.25	source_plus_focal_effect	focal_probability	0.5215713225186359	0.6581765663122648	0.7246365035687344	0.7847629609971561	0.8770895568878907
orthology_aware_floor	narrow	0.5	source_opportunity_only	source_ratio	4.310866661159046	7.577639015580864	10.310704330190662	14.16141090403145	26.651013082450017
orthology_aware_floor	narrow	0.5	source_opportunity_only	focal_effect	1.0	1.0	1.0	1.0	1.0
orthology_aware_floor	narrow	0.5	source_opportunity_only	focal_ascertainment	0.7001524097509877	0.9309020694385113	1.1413436098834602	1.3276716439702887	1.483169521540965
orthology_aware_floor	narrow	0.5	source_opportunity_only	focal_probability	0.45844027983399643	0.5883561145852754	0.6538429767982444	0.7160053896908397	0.818323083540502
orthology_aware_floor	narrow	0.5	source_plus_focal_effect	source_ratio	0.24638287916400337	0.6819175734710933	1.3177891019593153	2.6876596013979634	9.163477348278818
orthology_aware_floor	narrow	0.5	source_plus_focal_effect	focal_effect	1.5484215895409297	5.7408358734044445	12.40668028325294	24.355317302305483	46.29611711385331
