region	split	tip_count	bootstrap_replicates	bootstrap_count	bootstrap_percent
LTR	10p12.1__hap1__n269;10p12.1__hap2__n81;11q22.1__hap1__n160;11q22.1__hap2__n88;12q13.2__hap1__n216;12q13.2__hap2__n61;12q14.1__hap1__n260;12q14.1__hap2__n127;19p12b__hap1__n57;19p12b__hap2__n3;19p12c__hap1__n69;19p12c__hap2__n62;19q12__hap1__n314;19q12__hap2__n40;1p31.1b__hap1__n97;1p31.1b__hap2__n72;1q22__hap1__n256;1q22__hap2__n40;22q11.21__hap1__n99;22q11.21__hap2__n35;3q13.2__hap1__n261;3q13.2__hap2__n32;3q27.2__hap1__n242;3q27.2__hap2__n56;4q32.1__hap1__n132;4q32.1__hap2__n78;5q33.3__hap1__n307;5q33.3__hap2__n53;6q14.1__hap1__n152;6q14.1__hap2__n106;7p22.1__hap1__n93;7p22.1__hap2__n81;8p23.1a_hg38__hap1__n25;8p23.1a_hg38__hap2__n4;8q11.23_new__hap1__n465;8q11.23_new__hap2__n9;8q24.3a__hap1__n174;8q24.3a__hap2__n159;Xq21.33__hap1__n3	39	1000	260	26.0
LTR	21q21.1__hap1__n82;21q21.1__hap2__n31;3q21.2__hap1__n194;3q21.2__hap2__n63;5p13.3__hap1__n245;5p13.3__hap2__n147	6	1000	273	27.3
LTR	3q21.2__hap1__n194;3q21.2__hap2__n63	2	1000	1000	100.0
LTR	21q21.1__hap1__n82;21q21.1__hap2__n31;5p13.3__hap1__n245;5p13.3__hap2__n147	4	1000	628	62.8
LTR	5p13.3__hap1__n245;5p13.3__hap2__n147	2	1000	997	99.7
LTR	21q21.1__hap1__n82;21q21.1__hap2__n31	2	1000	1000	100.0
LTR	10p12.1__hap1__n269;10p12.1__hap2__n81;11q22.1__hap1__n160;11q22.1__hap2__n88;12q13.2__hap1__n216;12q13.2__hap2__n61;12q14.1__hap1__n260;12q14.1__hap2__n127;19p12b__hap1__n57;19p12b__hap2__n3;19p12c__hap1__n69;19p12c__hap2__n62;19q12__hap1__n314;19q12__hap2__n40;1p31.1b__hap1__n97;1p31.1b__hap2__n72;1q22__hap1__n256;1q22__hap2__n40;21q21.1__hap1__n82;21q21.1__hap2__n31;22q11.21__hap1__n99;22q11.21__hap2__n35;3q13.2__hap1__n261;3q13.2__hap2__n32;3q21.2__hap1__n194;3q21.2__hap2__n63;3q27.2__hap1__n242;3q27.2__hap2__n56;4q32.1__hap1__n132;4q32.1__hap2__n78;5p13.3__hap1__n245;5p13.3__hap2__n147;5q33.3__hap1__n307;5q33.3__hap2__n53;6q14.1__hap1__n152;6q14.1__hap2__n106;7p22.1__hap1__n93;7p22.1__hap2__n81;8p23.1a_hg38__hap1__n25;8p23.1a_hg38__hap2__n4;8q11.23_new__hap1__n465;8q11.23_new__hap2__n9;8q24.3a__hap1__n174;8q24.3a__hap2__n159;Xq21.33__hap1__n3	45	1000	281	28.1
LTR	16p11.2__hap1__n315;16p11.2__hap2__n30	2	1000	1000	100.0
LTR	10p12.1__hap1__n269;10p12.1__hap2__n81;11q22.1__hap1__n160;11q22.1__hap2__n88;12q13.2__hap1__n216;12q13.2__hap2__n61;12q14.1__hap1__n260;12q14.1__hap2__n127;16p11.2__hap1__n315;16p11.2__hap2__n30;19p12b__hap1__n57;19p12b__hap2__n3;19p12c__hap1__n69;19p12c__hap2__n62;19q12__hap1__n314;19q12__hap2__n40;1p31.1b__hap1__n97;1p31.1b__hap2__n72;1q22__hap1__n256;1q22__hap2__n40;21q21.1__hap1__n82;21q21.1__hap2__n31;22q11.21__hap1__n99;22q11.21__hap2__n35;3q13.2__hap1__n261;3q13.2__hap2__n32;3q21.2__hap1__n194;3q21.2__hap2__n63;3q27.2__hap1__n242;3q27.2__hap2__n56;4q32.1__hap1__n132;4q32.1__hap2__n78;5p13.3__hap1__n245;5p13.3__hap2__n147;5q33.3__hap1__n307;5q33.3__hap2__n53;6q14.1__hap1__n152;6q14.1__hap2__n106;7p22.1__hap1__n93;7p22.1__hap2__n81;8p23.1a_hg38__hap1__n25;8p23.1a_hg38__hap2__n4;8q11.23_new__hap1__n465;8q11.23_new__hap2__n9;8q24.3a__hap1__n174;8q24.3a__hap2__n159;Xq21.33__hap1__n3	47	1000	916	91.6
LTR	19p13.3__hap1__n107;19p13.3__hap2__n70	2	1000	996	99.6
LTR	10p12.1__hap1__n269;10p12.1__hap2__n81;11q22.1__hap1__n160;11q22.1__hap2__n88;12q13.2__hap1__n216;12q13.2__hap2__n61;12q14.1__hap1__n260;12q14.1__hap2__n127;16p11.2__hap1__n315;16p11.2__hap2__n30;19p12b__hap1__n57;19p12b__hap2__n3;19p12c__hap1__n69;19p12c__hap2__n62;19p13.3__hap1__n107;19p13.3__hap2__n70;19q12__hap1__n314;19q12__hap2__n40;1p31.1b__hap1__n97;1p31.1b__hap2__n72;1q22__hap1__n256;1q22__hap2__n40;21q21.1__hap1__n82;21q21.1__hap2__n31;22q11.21__hap1__n99;22q11.21__hap2__n35;3q13.2__hap1__n261;3q13.2__hap2__n32;3q21.2__hap1__n194;3q21.2__hap2__n63;3q27.2__hap1__n242;3q27.2__hap2__n56;4q32.1__hap1__n132;4q32.1__hap2__n78;5p13.3__hap1__n245;5p13.3__hap2__n147;5q33.3__hap1__n307;5q33.3__hap2__n53;6q14.1__hap1__n152;6q14.1__hap2__n106;7p22.1__hap1__n93;7p22.1__hap2__n81;8p23.1a_hg38__hap1__n25;8p23.1a_hg38__hap2__n4;8q11.23_new__hap1__n465;8q11.23_new__hap2__n9;8q24.3a__hap1__n174;8q24.3a__hap2__n159;Xq21.33__hap1__n3	49	1000	456	45.6
